,C0/mean,C0/stDev,ried,wetterStation,id,indexer,time,station,schreg,s,sonn0,t,schoenw,Tautemp,e,e10,festrr,rsum
35,0.3382546184919455,0.045400167732740554,Steinm,3811,2022-03,2022-03-3811,2022-03-01T00:00+00:00,3811,,209.0,2.0,4.7,,,4.7,5.1,,13.0
36,0.4937362102818614,0.0924821532111256,Steinm,3811,2022-04,2022-04-3811,2022-04-01T00:00+00:00,3811,,155.0,3.0,8.8,,2.3,7.5,9.4,,30.0
37,0.5293973271371957,0.10178711238853713,Steinm,3811,2022-05,2022-05-3811,2022-05-01T00:00+00:00,3811,,256.0,1.0,16.8,,,12.3,17.6,,72.0
38,0.5553470763965749,0.09130508699455239,Steinm,3811,2022-06,2022-06-3811,2022-06-01T00:00+00:00,3811,,269.0,2.0,21.2,,,16.9,21.6,,93.0
39,0.6057331423625906,0.0895767068107777,Steinm,3811,2022-07,2022-07-3811,2022-07-01T00:00+00:00,3811,,285.0,0.0,21.5,,,15.6,22.2,,120.0
40,0.6470982587475467,0.0805400317010173,Steinm,3811,2022-08,2022-08-3811,2022-08-01T00:00+00:00,3811,,213.0,3.0,21.4,,,17.1,21.9,,91.0
41,0.7110941556304294,0.0725134792449018,Steinm,3811,2022-09,2022-09-3811,2022-09-01T00:00+00:00,3811,,132.0,1.0,14.2,,,13.3,16.8,,48.0
42,0.06782995,0.11884774,Steinm,3811,2023-03,2023-03-3811,2023-03-01T00:00+00:00,3811,,146.0,1.0,6.6,,0.4,6.6,6.5,,6.0
43,0.06782995,0.11884774,Steinm,3811,2023-04,2023-04-3811,2023-04-01T00:00+00:00,3811,,124.0,6.0,8.6,,,8.2,9.2,,90.0
44,0.5877911375,0.1288300325,Steinm,3811,2023-05,2023-05-3811,2023-05-01T00:00+00:00,3811,,208.0,6.0,14.7,,,11.4,15.1,,57.0
45,0.58590750825,0.12629075574999998,Steinm,3811,2023-06,2023-06-3811,2023-06-01T00:00+00:00,3811,,255.0,1.0,19.6,,,14.8,20.2,,60.0
46,0.37988953225,0.1259106575,Steinm,3811,2023-07,2023-07-3811,2023-07-01T00:00+00:00,3811,,265.0,0.0,22.8,,,15.6,22.4,,38.0
47,0.455171952,0.10710989633333334,Steinm,3811,2023-08,2023-08-3811,2023-08-01T00:00+00:00,3811,,222.0,2.0,20.8,,,17.6,21.1,,74.0
48,0.576080253,0.143451086,Steinm,3811,2023-09,2023-09-3811,2023-09-01T00:00+00:00,3811,,237.0,1.0,18.5,,,15.5,19.1,,96.0
