,C0/mean,C0/stDev,ried,wetterStation,id,indexer,time,station,schreg,s,sonn0,t,schoenw,Tautemp,e,e10,festrr,rsum
35,0.3547876667500259,0.045789217242608704,Heilig,3811,2022-03,2022-03-3811,2022-03-01T00:00+00:00,3811,,209.0,2.0,4.7,,,4.7,5.1,,13.0
36,0.4826771318594248,0.07883300038284985,Heilig,3811,2022-04,2022-04-3811,2022-04-01T00:00+00:00,3811,,155.0,3.0,8.8,,2.3,7.5,9.4,,30.0
37,0.5372240148882539,0.09760731914832968,Heilig,3811,2022-05,2022-05-3811,2022-05-01T00:00+00:00,3811,,256.0,1.0,16.8,,,12.3,17.6,,72.0
38,0.6042955156474583,0.0910151510270429,Heilig,3811,2022-06,2022-06-3811,2022-06-01T00:00+00:00,3811,,269.0,2.0,21.2,,,16.9,21.6,,93.0
39,0.5973386817697816,0.07774341573136694,Heilig,3811,2022-07,2022-07-3811,2022-07-01T00:00+00:00,3811,,285.0,0.0,21.5,,,15.6,22.2,,120.0
40,0.641311655985093,0.0810884076440051,Heilig,3811,2022-08,2022-08-3811,2022-08-01T00:00+00:00,3811,,213.0,3.0,21.4,,,17.1,21.9,,91.0
41,0.7148969494369691,0.0617534247085478,Heilig,3811,2022-09,2022-09-3811,2022-09-01T00:00+00:00,3811,,132.0,1.0,14.2,,,13.3,16.8,,48.0
42,0.4335747062905329,0.0544030273447768,Heilig,3811,2023-03,2023-03-3811,2023-03-01T00:00+00:00,3811,,146.0,1.0,6.6,,0.4,6.6,6.5,,6.0
43,0.4550255481527682,0.1158128553931736,Heilig,3811,2023-04,2023-04-3811,2023-04-01T00:00+00:00,3811,,124.0,6.0,8.6,,,8.2,9.2,,90.0
44,0.670707427770446,0.0866225986026505,Heilig,3811,2023-05,2023-05-3811,2023-05-01T00:00+00:00,3811,,208.0,6.0,14.7,,,11.4,15.1,,57.0
45,0.6465313585108294,0.08712782574222115,Heilig,3811,2023-06,2023-06-3811,2023-06-01T00:00+00:00,3811,,255.0,1.0,19.6,,,14.8,20.2,,60.0
46,0.5057207313308547,0.09622895266109324,Heilig,3811,2023-07,2023-07-3811,2023-07-01T00:00+00:00,3811,,265.0,0.0,22.8,,,15.6,22.4,,38.0
47,0.5735867377505853,0.0845904649061529,Heilig,3811,2023-08,2023-08-3811,2023-08-01T00:00+00:00,3811,,222.0,2.0,20.8,,,17.6,21.1,,74.0
48,0.6168755691360067,0.07857620600959382,Heilig,3811,2023-09,2023-09-3811,2023-09-01T00:00+00:00,3811,,237.0,1.0,18.5,,,15.5,19.1,,96.0
