C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2021-03-26T00:00:00.000Z,0.222222224,0.678059518,0.444960792,0.068687998,5040,2686,0.4375,0.362059891,0.539606571,0
2021-03-31T00:00:00.000Z,0.259726614,0.710950553,0.467270162,0.071342007,5040,2686,0.463073164,0.379006922,0.562750518,0
2021-04-,0.26958409,0.800580502,0.539743018,0.093980463,5040,2686,0.533139244,0.42258206,0.66692099,0
2021-05-10T00:00:00.000Z,0.279441565,0.89021045,0.612215874,0.116618918,5040,2686,0.603205323,0.466157198,0.771091461,0
2021-06-04T00:00:00.000Z,0.295275599,0.906602859,0.626195739,0.110740443,5040,2686,0.628120899,0.484861791,0.780800343,0
2021-06-14T00:00:00.000Z,0.247655824,0.910675824,0.583133832,0.122898907,5040,2686,0.564878047,0.431708992,0.763208866,0
2021-06-19T00:00:00.000Z,0.257550806,0.906033397,0.539537632,0.124643301,5040,2686,0.515181184,0.40179041,0.717838764,0
2021-07-14T00:00:00.000Z,0.117223866,0.842722535,0.557705413,0.117477948,5040,2686,0.566666663,0.408965677,0.69429493,10.06796941
2021-07-24T00:00:00.000Z,0.401376158,0.88370043,0.630595853,0.079932889,5040,2686,0.626466453,0.534154534,0.7370224,0
2021-08-13T00:00:00.000Z,0.375809938,0.838826299,0.70865946,0.051352447,5040,2686,0.713151336,0.642875016,0.76994592,0
2021-08-23T00:00:00.000Z,0.512629986,0.900109053,0.789127153,0.050765711,5040,2686,0.797539413,0.720341682,0.846988618,0
2021-09-02T00:00:00.000Z,0.571090698,0.907056808,0.786987302,0.050111565,5040,2686,0.790084839,0.721092403,0.850356281,0
