,Kurzbeschreibung,Beschreibung,Einheit
sicht3a,Zahl der Termine mit Sicht >2000 <=10000 m,Zahl der Termine mit Sicht >2000 und <=10000 m - Tage mit 2000 < sicht <= 10000,
sicht4,Zahl der Termine mit Sicht >10000 <=20000 m,Zahl der Termine mit Sicht >10000 und <=20000 m - Tage mit 10000 < sicht <= 20000,
sicht5,Zahl der Termine mit Sicht >20000 <=50000 m,Zahl der Termine mit Sicht >20000 und <=50000 m - Tage mit 20000 < sicht <= 50000,
sicht6,Zahl der Termine mit Sicht >50000 m,Zahl der Termine mit Sicht >50000 m - Tage mit sicht > 50000,
sommer,Zahl der Sommertage,Zahl der Sommertage: Lufttemperatur 2m Tagesmaximum >=25.0°C - Summe der Tage mit tmax >=250,
sonn0,Zahl der Tage ohne Sonnenschein,Zahl der Tage mit Sonne = 0 Stunden - Summe aller Stundenwerte pro Tag,
sonn1,Zahl der Tage  mit Sonnenschein  >= 1h,Zahl der Tage mit Sonne >= 1 Stunde - Summe aller Stundenwerte pro Tag,
sonn10,Zahl der Tage mit Sonnenschein  >= 10h,Zahl der Tage mit Sonne >= 10 Stunden - Summe aller Stundenwerte pro Tag,
sonn5,Zahl der Tage mit Sonnenschein >= 5h,Zahl der Tage mit Sonne >= 5 Stunden - Summe aller Stundenwerte pro Tag,
stFrost,Zahl der Tage mit strengem Frost,Zahl der Tage mit strengem Frost: Lufttemperatur 2m Tagesminimum < -10.0°C - Summe aller Tage wo tmin < -100,
t,Lufttemperatur 2m Monatsmittel,"Lufttemperatur in 2m Höhe,Monatsmittel aus Termin- und Tagesextremwerten - (7 Uhr-Mittel +19 Uhr-Mittel + Mittleres Maximum + Mittleres Minimum)/4  / vor 1971: (7 Uhr-Mittel + 14 Uhr-Mittel + 2 * 21 Uhr-Mittel) / 4",°C
t14,Lufttemperatur 2m Monatsmittel der Beobachtungstermine II,"Lufttemperatur in 2m Höhe, Monatsmittel der Terminwerte II (14 MEZ) - Mittel",°C
t19,Lufttemperatur 2m Monatsmittel der Beobachtungstermine III,"Lufttemperatur in 2m Höhe, Monatsmittel der Terminwerte III (19 MEZ) - Mittel, vor 1971 21 Uhr, ab 1971 19 Uhr",°C
t5m,Lufttemperatur +5cm Monatsmittel,"Lufttemperatur in 5cm Höhe, Monatsmittel aller Nachtminima - Mittel aller täglicher Erdbodenminima (tag.erdmin)",°C
t5min,Lufttemperatur +5cm Monatsminimum,"Lufttemperatur in 5cm Höhe, Monatsminimum aller Nachtminima - Minimum der Spalte tag.erdmin",°C
t5mint,Lufttemperatur +5cm Tag des Monatsminimums,"Lufttemperatur in 5cm Höhe, Tag des Monatsminimums aller Nachtminima - Tag des Monatsminimums",
t7,Lufttemperatur 2m Monatsmittel der Beobachtungstermine I,"Lufttemperatur in 2m Höhe, Monatsmittel der Terminwerte I (7 MEZ) - Mittel",°C
tau,Zahl der Tage mit Tau,"Zahl der Tage mit Tau, aus Code B - code_b = (1, 5, 10, 11)",
temp10,Lufttemperatur 2m Zahl der Tage mit 10 °C <= Tagesmittel,Zahl der Tage mit 10 °C <= Tagesmittel der Lufttemperatur in 2m Höhe - Tage mit t >=100,
temp15,Lufttemperatur 2m Zahl der Tage mit 15 °C <= Tagesmittel,Zahl der Tage mit 15 °C <= Tagesmittel der Lufttemperatur in 2m Höhe - Tage mit t >=150,
temp20,Lufttemperatur 2m Zahl der Tage mit 20 °C <= Tagesmittel,Zahl der Tage mit 20 °C <= Tagesmittel der Lufttemperatur in 2m Höhe - Tage mit t >=200,
temp25,Lufttemperatur 2m Zahl der Tage mit 25 °C <= Tagesmittel,Zahl der Tage mit 25 °C <= Tagesmittel der Lufttemperatur in 2m Höhe - Tage mit t >=250,
temp5,Lufttemperatur 2m Zahl der Tage mit 5 °C <= Tagesmittel,Zahl der Tage mit 5 °C <= Tagesmittel der Lufttemperatur in 2m Höhe - Tage mit t >= 50,
