statnr;synnr;name;Bundesland;länge;breite;höhe Klimagarten;Barometerhöhe;datuma;Finanzierung;Ordnung;GPS-Vermessung;länge_dezi;breite_dezi
4705;11053;RIED IM INNKREIS;Oberösterreich;132830;481302;427;429;19970613;ZAMG;TAWES;Ja;13,475;48,21722222
4802;11067;GALLSPACH (OE3);Oberösterreich;134930;481215;426;k.A.;20120412;FREMD;Ö3;Ja;13,825;48,20416667
4815;11001;WOLFSEGG;Oberösterreich;134015;480620;635;616;19950531;ZAMG;TAWES;Ja;13,67083333;48,10555556
4821;11056;VOECKLABRUCK;Oberösterreich;133844;480024;432;431;20081101;ZAMG;TAWES;Ja;13,64555556;48,00666667
4905;11059;WELS-SCHLEISZHEIM;Oberösterreich;140417;480946;309;314;19831001;ZAMG;TAWES;Ja;14,07138889;48,16277778
5000;11010;HOERSCHING;Oberösterreich;141117;481407;298;313;19420601;FREMD;ACG;Nein;14,18805556;48,23527778
5012;11012;KREMSMUENSTER (TAWES);Oberösterreich;140752;480318;382;390;19880101;ZAMG;TAWES;Ja;14,13111111;48,055
5116;11374;WACHTBERG BEI STEYR;Niederösterreich;142740;480251;384;385;20080601;ZAMG;TAWES;Ja;14,46111111;48,0475
5130;11002;ENNS;Oberösterreich;142701;481145;317;317;20080701;ZAMG;TAWES;Ja;14,45027778;48,19583333
5316;11018;AMSTETTEN;Niederösterreich;145355;480629;266;264;20000705;ZAMG;TAWES;Ja;14,89861111;48,10805556
5412;11376;OBERNDORF/MELK;Niederösterreich;151250;480345;295;295;20070701;ZAMG;TAWES;Ja;15,21388889;48,0625
5413;11054;MELK;Niederösterreich;151953;481235;307;305;20080625;ZAMG;TAWES;Ja;15,33138889;48,20972222
5421;11379;WIESELBURG;Niederösterreich;150848;480738;259;259;20070701;ZAMG;TAWES;Ja;15,14666667;48,12722222
5609;11389;ST.POELTEN/LANDHAUS;Niederösterreich;153752;481159;274;270;20030626;ZAMG;TAWES / VAMES ;Ja;15,63111111;48,19972222
5625;11078;LILIENFELD-TARSCHBERG;Niederösterreich;153515;480141;696;696;19920801;ZAMG;TAWES;Ja;15,5875;48,02805556
5701;11391;KLAUSEN-LEOPOLDSDORF;Niederösterreich;160006;480519;389;393;20071201;ZAMG;TAWES;Ja;16,00166667;48,08861111
5735;11066;BUCHBERG;Niederösterreich;155642;481249;460;467;20091021;ZAMG;TAWES;Ja;15,945;48,21361111
5802;11044;WIEN-JUBILAEUMSWARTE;Wien;161556;481316;450;451;20090831;ZAMG;TAWES;Ja;16,26555556;48,22111111
5805;11080;WIEN-MARIABRUNN;Wien;161346;481225;225;227;19970116;ZAMG;TAWES;Ja;16,22944444;48,20694444
5820;11077;BRUNN AM GEBIRGE;Niederösterreich;161612;480625;291;290;20080925;ZAMG;TAWES;Ja;16,27;48,10694444
5881;11082;GUMPOLDSKIRCHEN;Niederösterreich;161656;480225;219;221;19901101;ZAMG;TAWES;Ja;16,28222222;48,04027778
5904;11035;WIEN-HOHE WARTE;Wien;162123;481455;198;209;19930101;ZAMG;TAWES;Ja;16,35638889;48,24861111
5906;11033;WIEN-HOHE WARTE;Wien;162123;481455;198;203;20090901;ZAMG;TAWES;Ja;16,35638889;48,24861111
5917;11040;WIEN/UNTERLAA;Wien;162510;480730;207;206;19960101;ZAMG;TAWES;Nein;16,41944444;48,125
5925;11034;WIEN-INNERE STADT;Wien;162201;481154;177;177;19841219;ZAMG;TAWES;Ja;16,36694444;48,19833333
5935;11090;WIEN-DONAUFELD;Wien;162600;481527;161;163;19960701;FREMD;TAWES;Nein;16,43333333;48,2575
5972;11037;GROSS-ENZERSDORF;Niederösterreich;163333;481159;154;153;19830701;ZAMG;TAWES;Ja;16,55916667;48,19972222
5990;11036;SCHWECHAT;Niederösterreich;163411;480637;183;183;19400801;FREMD;ACG;Nein;16,56972222;48,11027778
6102;11394;BRUCKNEUDORF;Burgenland;165042;480046;166;166;20071001;ZAMG;TAWES;Ja;16,845;48,01277778
6111;11046;BAD DEUTSCH-ALTENBURG (OE3);Niederösterreich;165424;480811;169;k.A.;20100511;FREMD;Ö3;Ja;16,90666667;48,13638889
6300;11150;SALZBURG-FLUGHAFEN;Salzburg;130012;474740;430;450;19390301;FREMD;ACG;Nein;13,00333333;47,79444444
6305;11350;SALZBURG-FREISAAL;Salzburg;130312;474726;418;418;19920201;ZAMG;TAWES;Ja;13,05333333;47,79055556
6415;11152;MATTSEE;Salzburg;130625;475840;505;503;19990708;ZAMG;TAWES;Nein;13,10694444;47,97777778
6430;11373;KOLOMANNSBERG;Salzburg;131631;475240;1113;1110;20080601;FREMD;TAWES;Ja;13,27527778;47,87777778
6501;11352;FRANKENMARKT (OE3);Oberösterreich;132526;475931;571;571;20040301;FREMD;Ö3 ;;13,42388889;47,99194444
6512;11153;MONDSEE;Oberösterreich;132050;475103;481;482;20090101;ZAMG;TAWES;Ja;13,34722222;47,85083333
6611;11155;FEUERKOGEL;Oberösterreich;134304;474900;1618;1620;19870701;ZAMG;TAWES;Ja;13,71777778;47,81666667
6620;11154;GMUNDEN;Oberösterreich;134827;475453;424;425;19820801;FREMD;TAWES;Ja;13,8075;47,91472222
6803;11347;MICHELDORF;Oberösterreich;140804;475259;459;459;20080731;ZAMG;TAWES;Ja;14,13444444;47,88305556
7002;11341;WEYER;Oberösterreich;143957;475126;426;421;20070901;FREMD;TAWES;Ja;14,66583333;47,85722222
7012;11368;WAIDHOFEN/YBBS-ZENTRUM;Niederösterreich;144704;475728;365;374;20021010;ZAMG;TAWES;Ja;14,78444444;47,95777778
7110;11170;LUNZ AM SEE;Niederösterreich;150403;475116;612;611;19940901;ZAMG;TAWES;Ja;15,0675;47,85444444
7221;11171;MARIAZELL/ST.SEBASTIAN-FLUGFELD;Steiermark;151808;474721;864;865;20000713;ZAMG;TAWES / VAMES ;Ja;15,30222222;47,78916667
7305;11386;KRUMBACH  (OE3);Niederösterreich;161112;473141;545;542;20061130;FREMD;Ö3;Ja;16,18666667;47,52805556
7505;11382;PUCHBERG/SCHNEEBERG;Niederösterreich;155425;474725;583;586;19980323;FREMD;TAWES;Ja;15,90694444;47,79027778
7531;11385;HOHE WAND/HOCHKOGELHAUS;Niederösterreich;160206;474920;937;937;19930501;ZAMG;TAWES;Ja;16,035;47,82222222
7604;11182;WR.NEUSTADT/FLUGPLATZ;Niederösterreich;161353;474956;275;281;19920901;ZAMG;TAWES;Ja;16,23138889;47,83222222
7610;11378;GUTENSTEIN/MARIAHILFBERG;Niederösterreich;155234;475217;709;710;19960601;FREMD;TAWES;Ja;15,87611111;47,87138889
7641;11079;BERNDORF;Niederösterreich;160604;475621;337;337;20070701;ZAMG;TAWES;Ja;16,10111111;47,93916667
7704;11190;EISENSTADT-NORDOST;Burgenland;163219;475114;184;182;19890101;ZAMG;TAWES / VAMES ;Ja;16,53861111;47,85388889
7710;11387;SEIBERSDORF;Niederösterreich;163018;475835;185;185;19820601;ZAMG;TAWES;Ja;16,505;47,97638889
7906;11194;NEUSIEDL AM SEE;Burgenland;165030;475703;148;149;20040804;ZAMG;TAWES;Ja;16,84166667;47,95083333
7955;11395;ANDAU;Burgenland;170200;474621;118;121;19950701;ZAMG;TAWES / VAMES ;Ja;17,03333333;47,7725
8301;11100;SULZBERG;Vorarlberg;95453;473120;1018;1014;20080901;ZAMG;TAWES;Ja;9,914722222;47,52222222
8805;11328;ACHENKIRCH;Tirol;114220;473156;904;908;19980701;ZAMG;TAWES  ;Ja;11,70555556;47,53222222
9016;11130;KUFSTEIN;Tirol;120946;473431;490;492;19920601;ZAMG;TAWES;Ja;12,16277778;47,57527778
9018;11321;SOELL (MT);Tirol;121246;473048;656;657;20061201;ZAMG;MINITAKLIS;Ja;12,21277778;47,51333333
9105;11327;KIRCHDORF/TIROL (MT);Tirol;122747;473358;637;k.A.;20060615;ZAMG;MINITAKLIS;Ja;12,46305556;47,56611111
9110;11131;KOESSEN;Tirol;122338;473946;588;589;20080901;ZAMG;TAWES;Ja;12,39388889;47,66277778
9211;11140;LOFER/ORT;Salzburg;124149;473458;624;624;19990401;ZAMG;TAWES;Ja;12,69694444;47,58277778
9215;11337;LOFERER ALM;Salzburg;123843;473550;1624;1593;19941101;ZAMG;TAWES;Nein;12,64527778;47,59722222
9406;11371;GOLLING;Salzburg;131054;473528;490;488;20080924;ZAMG;TAWES;Ja;13,18166667;47,59111111
9501;11369;ABTENAU;Salzburg;132035;473400;709;708;20080625;ZAMG;TAWES;Ja;13,34305556;47,56666667
9511;11357;ST.WOLFGANG;Oberösterreich;132700;474413;541;539;19900201;FREMD;TAWES;Nein;13,45;47,73694444
9606;11354;BAD GOISERN;Oberösterreich;133705;473833;502;503;19971204;FREMD;TAWES;Ja;13,61805556;47,6425
9618;11361;BAD ISCHL;Oberösterreich;133850;474222;507;509;20070701;ZAMG;TAWES;Ja;13,64722222;47,70611111
9643;11356;BAD AUSSEE;Steiermark;134521;473640;747;747;20121115;FREMD;TAWES;Nein;13,75583333;47,61111111
9700;11358;BAD MITTERNDORF;Steiermark;135605;473312;814;802;19831027;FREMD;TAWES;Ja;13,93472222;47,55333333
9801;11157;AIGEN/ENNSTAL;Steiermark;140818;473158;641;652;19920801;ZAMG;TAWES;Ja;14,13833333;47,53277778
9811;11360;IRDNING-GUMPENSTEIN;Steiermark;140559;472942;697;695;19900101;FREMD;TAWES;Ja;14,09972222;47,495
9911;11167;HALL/ADMONT;Steiermark;142927;473541;637;635;20070613;ZAMG;TAWES;Ja;14,49083333;47,59472222
