statnr;synnr;name;Bundesland;länge;breite;höhe Klimagarten;Barometerhöhe;datuma;Finanzierung;Ordnung;GPS-Vermessung;länge_dezi;breite_dezi
13116;11166;SECKAU;Steiermark;144643;471615;872;872;20011214;ZAMG;TAWES;Ja;14,77861111;47,27083333
13120;11362;KALWANG;Steiermark;144535;472517;744;747;19940210;ZAMG;TAWES;Ja;14,75972222;47,42138889
13302;11175;BRUCK/MUR (OE3);Steiermark;151459;472421;482;484;20041101;FREMD;Ö3 ;Ja;15,24972222;47,40583333
13305;11370;KAPFENBERG;Steiermark;151754;472645;505;506;19970201;ZAMG;TAWES;Ja;15,29833333;47,44583333
13308;11249;FROHNLEITEN;Steiermark;151854;471520;421;423;20080911;ZAMG;TAWES;Ja;15,315;47,25555556
13312;11274;LEOBEN;Steiermark;150512;472242;544;545;20121201;ZAMG;TAWES;Ja;15,08666667;47,37833333
13515;11173;FISCHBACH;Steiermark;153838;472639;1034;1037;19941101;FREMD;TAWES;Ja;15,64388889;47,44416667
13605;11390;HARTBERG;Steiermark;155843;471650;330;337;19940801;ZAMG;TAWES;Ja;15,97861111;47,28055556
13606;11398;EICHBERG;Steiermark;155613;472400;692;693;20090101;FREMD;TAWES;Ja;15,93694444;47,4
13702;11197;BERNSTEIN;Burgenland;161541;472430;631;633;20070701;ZAMG;TAWES;Ja;16,26138889;47,40833333
13706;11193;BAD TATZMANNSDORF (OE3);Burgenland;161330;472017;347;k.A.;20040917;FREMD;Ö3 ;Ja;16,225;47,33805556
13805;11397;HIRSCHENSTEIN;Burgenland;162245;472043;859;866;20070215;ZAMG;TAWES;Ja;16,37916667;47,34527778
13811;11396;RECHNITZ  (OE3);Burgenland;162715;471805;308;309;20061201;FREMD;Ö3 ;Ja;16,45416667;47,30138889
13907;11393;LUTZMANNSBURG;Burgenland;163844;472755;201;200;20000629;ZAMG;TAWES / VAMES ;Ja;16,64555556;47,46527778
14104;11102;BLUDENZ;Vorarlberg;94925;470915;565;561;20070801;ZAMG;TAWES;Ja;9,823611111;47,15416667
14115;11304;BRAND;Vorarlberg;94418;470611;1029;1032;20010626;ZAMG;TAWES;Ja;9,738333333;47,10305556
14302;11311;ST.ANTON AM ARLBERG;Tirol;101600;470753;1304;1300;20070901;ZAMG;TAWES;Ja;10,26666667;47,13138889
14305;11110;GALZIG;Tirol;101349;470747;2084;2090;19930901;ZAMG;TAWES;Ja;10,23027778;47,12972222
