C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2021-03-06T00:00:00.000Z,0.270568281,0.838961065,0.46626127,0.067061616,5688,3269,0.465875357,0.377155185,0.551654994,0
2021-03-26T00:00:00.000Z,0.237076655,0.646786332,0.434773757,0.072576109,5688,3269,0.433628321,0.34233129,0.531164467,0
2021-03-31T00:00:00.000Z,0.222921908,0.690412402,0.458441943,0.082888505,5688,3269,0.459026486,0.350427359,0.565741837,0
2021-04-,0.212046891,0.765868068,0.490370916,0.101152308,5688,3269,0.489827588,0.358940721,0.624331206,0
2021-05-10T00:00:00.000Z,0.201171875,0.841323733,0.522299889,0.119416111,5688,3269,0.520628691,0.367454082,0.682920575,0
2021-06-04T00:00:00.000Z,0.242994949,1,0.531067591,0.119714442,5688,3269,0.517493486,0.384147882,0.701124787,0
2021-06-14T00:00:00.000Z,0.338390023,0.888322651,0.579613104,0.099369206,5688,3269,0.572830975,0.45462516,0.712682366,0
2021-06-19T00:00:00.000Z,0.291411787,0.896737754,0.548742978,0.096383929,5688,3269,0.542688906,0.426987052,0.672839522,0
2021-07-19T00:00:00.000Z,0.272338152,0.860692441,0.599881335,0.078997968,5688,3269,0.601881683,0.49903214,0.700369,0
2021-07-24T00:00:00.000Z,0.34519574,0.868002057,0.567784178,0.082524254,5688,3269,0.565109015,0.463891506,0.673445642,0
2021-08-03T00:00:00.000Z,0.229110509,0.883445084,0.666523418,0.087424919,5688,3269,0.674027324,0.548856556,0.773011625,0
2021-08-23T00:00:00.000Z,0.222950816,0.751958251,0.587393569,0.070753798,5688,3269,0.598265886,0.488584489,0.669444442,0
2021-09-02T00:00:00.000Z,0.338967144,0.888993442,0.728696197,0.083901485,5688,3269,0.740639269,0.605142713,0.828997791,0
