C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2021-03-06T00:00:00.000Z,0.301411897,0.657207727,0.507541521,0.067543349,1734,392,0.517744601,0.403602391,0.59033078,0
2021-03-26T00:00:00.000Z,0.256110519,0.658430636,0.495268905,0.071357741,1734,392,0.5,0.392337382,0.58130604,0
2021-03-31T00:00:00.000Z,0.259698272,0.659103513,0.502938955,0.073084427,1734,392,0.505926371,0.398545921,0.588838279,0
2021-04-30T00:00:00.000Z,0.184750736,0.687111139,0.470430677,0.091981981,1734,392,0.466539204,0.354698539,0.590563536,0
2021-05-10T00:00:00.000Z,0.17993246,0.837277293,0.471341973,0.10952141,1734,392,0.459838271,0.343283594,0.618999481,0
2021-06-04T00:00:00.000Z,0.258566976,0.898246348,0.542968279,0.095228445,1734,392,0.5330863,0.444600284,0.668958485,0
2021-06-14T00:00:00.000Z,0.341511667,0.897416115,0.601868883,0.081566543,1734,392,0.607399821,0.487588644,0.692383528,0
2021-06-19T00:00:00.000Z,0.337483317,0.908437669,0.558684382,0.084031944,1734,392,0.56226027,0.453687608,0.659343779,0
2021-06-24T00:00:00.000Z,0.330211818,0.886737466,0.55905051,0.079120013,1734,392,0.559803367,0.460566461,0.664650381,0
2021-07-04T00:00:00.000Z,0.326848239,0.835986793,0.563011978,0.085500049,1734,392,0.557315528,0.455307275,0.682527006,0
2021-07-14T00:00:00.000Z,0.341961175,0.872157872,0.603058057,0.088368855,1734,392,0.607977211,0.481398612,0.717677414,0
2021-07-29T00:00:00.000Z,0.454636097,0.87899071,0.691804244,0.07333035,1734,392,0.697740138,0.597073436,0.778616369,0
2021-08-,0.480098635,0.894199193,0.741132348,0.068348213,1734,392,0.752397358,0.650398135,0.818167627,0
2021-09-02T00:00:00.000Z,0.505561173,0.909407675,0.790460452,0.063366075,1734,392,0.807054579,0.703722835,0.857718885,0
