C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2020-03-16T00:00:00.000Z,0.26727888,0.494539768,0.415047562,0.033971647,1710,1066,0.41800642,0.375510216,0.457277,100
2020-04-05T00:00:00.000Z,0.296639621,0.595520854,0.502823993,0.041718135,1710,1058,0.502759039,0.446870446,0.557051718,0
2020-04-10T00:00:00.000Z,0.319483429,0.608194649,0.510066262,0.045262488,1710,1058,0.502245009,0.451653957,0.57406646,0
2020-04-25T00:00:00.000Z,0.248953968,0.86336118,0.548384173,0.106894237,1710,1058,0.529059291,0.449444771,0.696518898,0
2020-04-30T00:00:00.000Z,0.321730494,0.840559423,0.544075527,0.096490059,1710,1058,0.521377027,0.449421227,0.692747593,0
2020-05-,0.314616784,0.821991205,0.538581667,0.101327352,1710,1058,0.527645022,0.423847049,0.690856367,2.530674847
2020-06-04T00:00:00.000Z,0.307503074,0.803422987,0.533087808,0.106164645,1710,1058,0.533913016,0.398272872,0.688965142,5.061349693
2020-07-04T00:00:00.000Z,0.118208371,0.840707958,0.411654423,0.159692516,1710,1058,0.404287905,0.214504883,0.630736411,44.17177914
2020-07-09T00:00:00.000Z,0.434593499,0.925393283,0.767005931,0.067871808,1710,1058,0.766049623,0.692749441,0.847860515,0
2020-07-29T00:00:00.000Z,0.497818708,0.827602446,0.757488532,0.039459109,1710,1058,0.76605618,0.69836694,0.801337183,0
2020-08-08T00:00:00.000Z,0.514799178,0.883943677,0.798573112,0.039635881,1710,1058,0.805048347,0.751306176,0.838306546,0
2020-08-13T00:00:00.000Z,0.441847682,0.878787875,0.801366139,0.050137136,1710,1058,0.811613619,0.75938189,0.848233461,0
2020-08-23T00:00:00.000Z,0.420609206,0.881045759,0.781331909,0.055485145,1710,1058,0.79091996,0.728463113,0.836799979,0
2020-08-28T00:00:00.000Z,0.490460157,0.88691932,0.751368476,0.063684074,1710,1058,0.757304728,0.670301497,0.834068358,0
2020-09-02T00:00:00.000Z,0.458760589,0.819661021,0.696443774,0.070492283,1710,1058,0.714813113,0.601586163,0.766369522,0
