C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2019-03-07T00:00:00.000Z,0.254797429,0.45173043,0.368756137,0.03301005,1710,1066,0.371710539,0.325058192,0.406685233,5.745341615
2019-03-12T00:00:00.000Z,0.171052635,0.431767344,0.321892875,0.044374688,1710,1066,0.328891009,0.261942267,0.3715415,4.037267081
2019-04-01T00:00:00.000Z,0.243032336,0.632700086,0.499520805,0.054860993,1710,1066,0.509594858,0.416913062,0.561409771,0
2019-04-16T00:00:00.000Z,0.35717988,0.724871874,0.555492369,0.070946241,1710,1066,0.551370978,0.463772357,0.652372777,0
2019-04-21T00:00:00.000Z,0.271987796,0.833005905,0.552913287,0.099857937,1710,1066,0.529179037,0.457126647,0.717758298,0
2019-05-,0.30470556,0.880605519,0.62845511,0.092734293,1710,1066,0.611104786,0.53019233,0.783659011,0
2019-06-05T00:00:00.000Z,0.337423325,0.928205132,0.703996933,0.085610649,1710,1066,0.693030536,0.603258014,0.849559724,0
2019-06-20T00:00:00.000Z,0.311146319,0.925025344,0.616069564,0.122417473,1710,1066,0.598434031,0.49870801,0.816828012,0
2019-06-25T00:00:00.000Z,0.345259398,0.902713299,0.633738209,0.108746772,1710,1066,0.621370494,0.513356924,0.800629616,0
2019-06-30T00:00:00.000Z,0.313884377,0.903984189,0.605999186,0.110762514,1710,1066,0.601214588,0.489309698,0.764004171,0
2019-07-20T00:00:00.000Z,0.329393476,0.887456059,0.591586616,0.103542413,1710,1066,0.577319562,0.472681075,0.729646683,0
2019-07-25T00:00:00.000Z,0.330209315,0.899342299,0.574468259,0.103494742,1710,1066,0.558977544,0.457737327,0.72637856,0
2019-08-09T00:00:00.000Z,0.407604367,0.901877642,0.690048053,0.075433924,1710,1066,0.69009012,0.613068998,0.79898864,0
2019-08-14T00:00:00.000Z,0.441345721,0.842155933,0.708731386,0.052330083,1710,1066,0.707185328,0.649255753,0.777595162,0
2019-08-19T00:00:00.000Z,0.405000001,0.863849759,0.674184891,0.062242467,1710,1066,0.670063674,0.611811519,0.755274236,0
2019-09-03T00:00:00.000Z,0.39199999,0.886451602,0.668108464,0.072816483,1710,1066,0.660770059,0.592926502,0.763118446,0
